id,symbol,name,current_price,high_24h,low_24h,market_cap,total_volume
bitcoin,btc,Bitcoin,86117.0,91840.0,84933.0,1718234225099,72800735775.0
ethereum,eth,Ethereum,2816.61,3048.88,2807.43,339894177916,27071669971.0
tether,usdt,Tether,0.999934,1.0,0.999739,184594214821,93262037957.0
ripple,xrp,XRP,2.02,2.21,2.01,121692098242,4085242374.0
binancecoin,bnb,BNB,819.02,898.97,815.71,112702122109,2112755417.0
usd-coin,usdc,USDC,0.999805,0.999949,0.99962,76564805719,5858204946.0
solana,sol,Solana,126.21,139.71,126.0,70827324318,5638072339.0
tron,trx,TRON,0.277596,0.282866,0.275995,26254851754,796479389.0
staked-ether,steth,Lido Staked Ether,2816.23,3047.21,2807.83,24290070437,36036197.0
dogecoin,doge,Dogecoin,0.135176,0.150465,0.134986,20548422742,1498515618.0
figure-heloc,figr_heloc,Figure Heloc,1.025,,,14281293121,146771.0
cardano,ada,Cardano,0.379882,0.426909,0.376048,13891380193,993009214.0
whitebit,wbt,WhiteBIT Coin,58.51,59.07,55.15,12548159204,150104390.0
wrapped-steth,wsteth,Wrapped stETH,3435.62,3720.09,3427.14,11334663797,42231936.0
wrapped-bitcoin,wbtc,Wrapped Bitcoin,86068.0,91546.0,85186.0,10751080919,335715753.0
bitcoin-cash,bch,Bitcoin Cash,525.77,560.52,516.16,10465587363,523528493.0
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3051.35,3303.31,3042.64,9938482422,20052484.0
usds,usds,USDS,0.99959,1.0,0.999135,9405790401,13103001.0
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999701,1.001,0.994639,8983414635,1389011594.0
leo-token,leo,LEO Token,9.72,9.91,9.69,8969135977,704095.0
chainlink,link,Chainlink,12.04,13.41,12.01,8406378970,682919871.0
hyperliquid,hype,Hyperliquid,29.59,33.93,29.53,8011865893,398138274.0
weth,weth,WETH,2816.17,3049.31,2807.91,7868728285,180992354.0
stellar,xlm,Stellar,0.231272,0.254305,0.228517,7461353930,179028570.0
monero,xmr,Monero,400.16,438.49,397.38,7396833154,229406898.0
wrapped-eeth,weeth,Wrapped eETH,3047.04,3299.05,3038.33,7188880522,41748862.0
ethena-usde,usde,Ethena USDe,0.998972,1.001,0.992953,7140558371,117011199.0
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,86097.0,91849.0,85287.0,6198749732,444643917.0
